capital_gain,age,hours_per_week
0,34,12
7688,48,40
0,23,30
0,56,40
0,17,9
0,34,40
0,37,40
0,49,40
3411,55,40
0,25,40
0,38,40
0,37,40
0,45,44
0,51,40
0,47,46
0,34,40
0,27,40
0,45,40
0,21,40
0,23,37
0,46,40
0,22,40
0,31,30
0,33,40
3103,55,55
0,24,40
0,33,48
0,43,40
0,46,40
0,18,30
0,23,32
0,44,60
0,30,60
0,22,35
0,45,55
0,32,40
0,53,40
0,27,40
0,22,33
0,31,45
0,35,40
0,63,32
0,36,50
0,48,50
0,31,35
0,20,40
2885,42,40
0,35,60
0,62,38
0,64,40
0,27,34
0,24,40
0,65,40
0,45,30
0,28,30
0,59,14
0,48,32
99999,42,40
0,41,40
0,25,40
3325,58,30
0,51,36
0,49,40
0,31,50
0,29,40
0,30,50
0,40,40
0,23,60
0,20,30
0,44,40
0,37,50
15024,44,45
0,27,40
0,36,15
0,27,40
2202,22,4
0,36,40
0,30,36
0,31,40
0,27,50
0,39,40
0,42,40
0,26,30
0,45,50
0,49,17
0,18,20
0,51,40
0,66,10
0,47,40
0,55,40
0,27,58
0,75,8
0,24,40
0,32,38
0,60,40
0,28,40
0,34,50
0,77,40
0,25,45
3103,45,40
0,75,16
594,52,40
0,30,25
4787,34,45
0,64,5
0,29,40
0,29,34
0,35,40
0,35,40
0,29,40
0,20,33
0,46,40
0,23,5
0,60,40
0,25,40
0,27,40
0,24,30
0,81,20
0,30,40
0,43,50
0,50,40
7298,60,48
0,57,40
0,20,20
0,41,40
0,42,40
0,38,40
0,31,40
0,31,38
0,61,38
0,47,40
0,32,46
0,20,40
0,52,35
15024,43,50
0,44,45
0,21,40
0,72,4
0,37,50
0,21,40
0,44,40
0,70,30
0,38,45
3471,61,40
0,54,40
0,53,40
0,44,40
0,57,40
0,26,50
0,22,20
0,58,60
0,74,17
0,53,70
25236,45,42
0,60,45
0,32,50
0,36,45
0,36,50
0,50,40
0,42,60
0,25,15
0,56,20
0,23,40
0,25,40
99999,65,40
0,24,50
0,46,40
99999,30,40
0,52,44
0,76,20
0,24,40
0,35,50
0,26,40
0,48,40
15024,44,60
0,54,45
0,65,25
0,35,40
0,36,50
0,21,38
0,38,40
0,38,55
0,26,40
0,35,55
0,70,32
7688,46,40
0,32,60
0,42,37
0,33,40
0,59,40
1151,38,40
0,40,40
0,28,35
0,49,40
0,46,50
0,54,40
0,22,6
0,41,25
0,56,50
0,32,80
0,46,63
0,45,19
0,29,25
0,61,40
0,60,40
0,61,40
0,52,40
0,49,32
0,36,40
0,30,70
0,24,20
0,45,40
0,53,40
0,20,35
0,55,40
0,24,40
0,38,40
0,44,55
0,23,40
5013,30,40
0,34,40
0,60,40
0,29,50
0,34,40
0,42,50
0,31,60
0,52,40
0,27,50
0,26,40
0,18,20
0,84,16
0,25,40
0,36,50
0,29,25
3103,44,40
0,27,45
0,18,40
0,51,40
0,31,40
0,20,15
0,58,20
2174,26,75
0,45,40
0,31,45
0,39,35
0,33,40
0,45,15
0,54,50
0,41,45
0,48,20
0,52,40
0,30,25
99999,41,65
0,46,30
0,34,40
0,35,40
0,20,45
0,20,9
7688,32,40
0,18,20
0,44,40
0,26,3
0,37,40
0,49,50
0,37,30
0,58,52
0,72,12
0,45,76
0,19,40
0,30,45
0,54,40
0,54,40
0,35,46
8614,46,40
0,29,42
0,72,8
0,34,8
0,25,40
0,45,45
0,49,44
0,22,20
0,41,40
0,34,60
0,53,40
0,23,40
0,25,40
0,27,34
0,42,40
0,35,40
0,26,44
0,43,40
0,44,40
2407,53,99
0,45,40
15024,55,48
0,62,55
0,17,25
0,33,41
5455,45,40
0,31,35
0,48,40
0,25,40
0,28,38
0,24,40
0,20,40
0,42,40
0,46,37
0,65,40
0,44,33
0,44,30
0,17,20
0,27,40
0,72,55
0,39,67
99999,24,50
0,60,40
0,48,40
0,55,37
0,61,40
